"","VIP","Coefficient"
"crop_production",2.8142479465606,182.621123432846
"crop_residue",2.78860038067028,180.956811195564
"general_CV",0.0210225892925628,1.36418998857834
"discount_rate_farmers",0.173164601410018,11.236932441204
"total_area",0.474530942548298,30.7930841480145
"crop_price",0.468774502941967,30.4195394256433
"residue_price",2.12288832208486,137.757673688777
"farm_job_created",0.110920140166312,7.19778818112199
"off_farm_job",0.153268070137631,9.94581418781031
"construction_job_perc",0.0736691078912237,4.78050815026192
"watershed_mgmt_job",0.107469077003544,6.97384308325219
"family_labour_cost",0.0247931718112312,-1.60886921678815
"off_farm_labour_cost",0.275164048977578,17.8558423802101
"total_population",3.10879036111452,-201.734459452225
"prop_trained",2.83602667007219,-184.034380199891
"prop_adopted",1.78059655374067,-115.545804491812
"value_capacity_development",0.293673384645183,19.0569432561101
"prob_flooding_hazard",0.157977292039755,-10.2514032512443
"value_red_flooding_effect",0.0413788796237937,2.68514275457676
"value_improve_ecosystem",0.0731747312828271,-4.74842724860056
"veg_cover_density",0.347771063866172,-22.5674295892424
"watershed_area",0.219546345624997,14.2467192105845
"value_vegetative_cover",0.020684272377972,1.34223605410203
"perc_area_reclaimed",0.138792079041816,-9.00644359683149
"value_reclaimed_area",0.201313748004922,13.0635763163891
"farm_input_cost",0.10221847493819,6.63312298108577
"labour_contribution",0.0627644596819199,4.07288780392505
"perimeter_fenced",0.00749805885602532,-0.486561226251021
"cost_fence",0.134265688289662,-8.71271874388639
"value_tree_cleared",0.208613594214166,13.5372752018225
"perc_soil_disturbed",0.0400386760880377,-2.59817476882143
"value_soil_disturbance",0.120696874977247,7.83221639376752
"vegetative_area_affected",0.104815982664431,6.80167947934005
"area_benefited_alluvial_deposits",0.127718195358145,-8.28784128549349
"value_alluvial_deposits",0.2843597491864,-18.4525663131312
"no_people_affected",0.0795359781961675,-5.16121890015624
"cost_health_treatment",0.147853876928567,9.59447839043317
"prop_area_converted_crop",0.0465196048950833,-3.01873277298643
"current_value_pasture",0.128242769275685,-8.32188173962681
"pasture_clearing_cost",0.160448156199673,10.4117416426379
"study_design_cost",0.332194397563739,-21.556634395107
"training_cost",0.34290074837094,-22.2513869007157
"construction_cost",0.0250334770550037,-1.62446301464032
"perc_watershed_area_intervened",0.152985921558557,-9.92750510791975
"cost_watershed_mgmt",0.326199599940276,-21.1676222335854
"perc_repair_maint_cost",0.26089355395423,-16.9298067633798
"prob_slopey_area",0.0136030758092058,0.882725699224685
"perc_increase_cost_due_to_slope",0.0650281181183594,-4.21978027913714
"prob_improper_design",0.0497126736887954,3.22593619691313
"prob_supervision",0.20308382087542,13.1784392219705
"prob_reject_suggestions",0.11988397876979,7.77946623761254
"perc_supervision_cost",0.190057441864185,12.333136315309
"prob_total_str_failure",4.01978992788678,-260.850702047022
"prob_conflict",0.280977514512012,-18.2330876077438
"cost_managing_conflict",0.335471692848545,21.7693034129396
"prob_siltation",0.418639484461693,27.1661965887467
"prob_yield_red_dry",0.615722632843253,-39.9552424193066
"perc_reduction_crop_yield",0.43358806736404,-28.1362344301856
"prob_yield_red_flood",0.265353685123354,-17.219231924286
"perc_reduction_crop_yield_flood",0.0769256489372402,-4.99183039180625
